BABA,Date,Close,Monthly Returns_BABA,,,BTC,Date,Close,Monthly Returns_BTC,,,VTI,Date,Close,Monthly Returns_VTI,,,HAL,Date,Close,Monthly Returns_HAL,,,GGE,Date,Close,Monthly Returns_GGE,,,AMZN,Date,Close,Monthly Returns_AMZN
,10/1/2015,314.165985,0.201024401,,,,10/1/2015,31.295,0.062150567,,,,10/1/2015,106.529999,0.006007688,,,,10/1/2015,38.380001,0.038301119,,,,10/1/2015,5.04,-0.178571429,,,,10/1/2015,31.295,0.062150567
,11/1/2015,377.321014,0.14111584,,,,11/1/2015,33.240002,0.016681587,,,,11/1/2015,107.169998,-0.026779836,,,,11/1/2015,39.849998,-0.14579667,,,,11/1/2015,4.14,-0.188405797,,,,11/1/2015,33.240002,0.016681587
,12/1/2015,430.566986,-0.143531646,,,,12/1/2015,33.794498,-0.131515432,,,,12/1/2015,104.300003,-0.057238742,,,,12/1/2015,34.040001,-0.066098705,,,,12/1/2015,3.36,-0.18452381,,,,12/1/2015,33.794498,-0.131515432
,1/1/2016,368.766998,0.186920178,,,,1/1/2016,29.35,-0.058739387,,,,1/1/2016,98.330002,-0.000101719,,,,1/1/2016,31.790001,0.015413589,,,,1/1/2016,2.74,0.00729927,,,,1/1/2016,29.35,-0.058739387
,2/1/2016,437.696991,-0.047905257,,,,2/1/2016,27.625999,0.074422648,,,,2/1/2016,98.32,0.066110659,,,,2/1/2016,32.279999,0.106567599,,,,2/1/2016,2.76,0.275362319,,,,2/1/2016,27.625999,0.074422648
,3/1/2016,416.729004,0.075802233,,,,3/1/2016,29.681999,0.111094303,,,,3/1/2016,104.82,0.006582732,,,,3/1/2016,35.720001,0.156494956,,,,3/1/2016,3.52,0.170454545,,,,3/1/2016,29.681999,0.111094303
,4/1/2016,448.317993,0.185288109,,,,4/1/2016,32.9795,0.095817099,,,,4/1/2016,105.510002,0.01734427,,,,4/1/2016,41.310001,0.021060251,,,,4/1/2016,4.12,-0.17961165,,,,4/1/2016,32.9795,0.095817099
,5/1/2016,531.385986,0.267133483,,,,5/1/2016,36.1395,-0.009919949,,,,5/1/2016,107.339996,-0.00167684,,,,5/1/2016,42.18,0.07373165,,,,5/1/2016,3.38,0.076923077,,,,5/1/2016,36.1395,-0.009919949
,6/1/2016,673.336975,-0.072260914,,,,6/1/2016,35.780998,0.060353263,,,,6/1/2016,107.160004,0.039753582,,,,6/1/2016,45.290001,-0.035990306,,,,6/1/2016,3.64,0.126373626,,,,6/1/2016,35.780998,0.060353263
,7/1/2016,624.68103,-0.078774675,,,,7/1/2016,37.940498,0.013639832,,,,7/1/2016,111.419998,0.002064297,,,,7/1/2016,43.66,-0.014887815,,,,7/1/2016,4.1,0.146341463,,,,7/1/2016,37.940498,0.013639832
,8/1/2016,575.471985,0.059538954,,,,8/1/2016,38.458,0.088603177,,,,8/1/2016,111.650002,-0.002866099,,,,8/1/2016,43.009998,0.043478333,,,,8/1/2016,4.7,0.004255319,,,,8/1/2016,38.458,0.088603177
,9/1/2016,609.734985,0.149633861,,,,9/1/2016,41.865501,-0.056717343,,,,9/1/2016,111.330002,-0.02191685,,,,9/1/2016,44.880001,0.024955414,,,,9/1/2016,4.72,-0.271186441,,,,9/1/2016,41.865501,-0.056717343
,10/1/2016,700.971985,0.063795694,,,,10/1/2016,39.491001,-0.049694891,,,,10/1/2016,108.889999,0.044907705,,,,10/1/2016,46,0.154130435,,,,10/1/2016,3.44,0.23255814,,,,10/1/2016,39.491001,-0.049694891
,11/1/2016,745.690979,0.292416038,,,,11/1/2016,37.5285,-0.000932625,,,,11/1/2016,113.779999,0.013534901,,,,11/1/2016,53.09,0.018835939,,,,11/1/2016,4.24,-0.099056604,,,,11/1/2016,37.5285,-0.000932625
,12/1/2016,963.742981,0.006910591,,,,12/1/2016,37.4935,0.098163682,,,,12/1/2016,115.32,0.01855705,,,,12/1/2016,54.09,0.04584951,,,,12/1/2016,3.82,-0.052356021,,,,12/1/2016,37.4935,0.098163682
,1/1/2017,970.403015,0.215958682,,,,1/1/2017,41.174,0.026181547,,,,1/1/2017,117.459999,0.036948783,,,,1/1/2017,56.57,-0.054976153,,,,1/1/2017,3.62,-0.049723757,,,,1/1/2017,41.174,0.026181547
,2/1/2017,1179.969971,-0.091680242,,,,2/1/2017,42.251999,0.049110126,,,,2/1/2017,121.800003,-0.003940911,,,,2/1/2017,53.459999,-0.079498692,,,,2/1/2017,3.44,-0.069767442,,,,2/1/2017,42.251999,0.049110126
,3/1/2017,1071.790039,0.257606402,,,,3/1/2017,44.327,0.043370857,,,,3/1/2017,121.32,0.010633045,,,,3/1/2017,49.209999,-0.067669134,,,,3/1/2017,3.2,0.06875,,,,3/1/2017,44.327,0.043370857
,4/1/2017,1347.890015,0.696288189,,,,4/1/2017,46.2495,0.075276468,,,,4/1/2017,122.610001,0.010113343,,,,4/1/2017,45.880001,-0.015039276,,,,4/1/2017,3.42,0.01754386,,,,4/1/2017,46.2495,0.075276468
,5/1/2017,2286.409912,0.085037322,,,,5/1/2017,49.730999,-0.02676393,,,,5/1/2017,123.849998,0.004844562,,,,5/1/2017,45.189999,-0.054879399,,,,5/1/2017,3.48,-0.126436782,,,,5/1/2017,49.730999,-0.02676393
,6/1/2017,2480.840088,0.159018714,,,,6/1/2017,48.400002,0.020433842,,,,6/1/2017,124.449997,0.018802765,,,,6/1/2017,42.709999,-0.006321705,,,,6/1/2017,3.04,-0.026315789,,,,6/1/2017,48.400002,0.020433842
,7/1/2017,2875.340088,0.635768289,,,,7/1/2017,49.389,-0.007268845,,,,7/1/2017,126.790001,0.001498557,,,,7/1/2017,42.439999,-0.081762443,,,,7/1/2017,2.96,-0.108108108,,,,7/1/2017,49.389,-0.007268845
,8/1/2017,4703.390137,-0.0775356,,,,8/1/2017,49.029999,-0.019630798,,,,8/1/2017,126.980003,0.020003158,,,,8/1/2017,38.970001,0.181164943,,,,8/1/2017,2.64,0.007575758,,,,8/1/2017,49.029999,-0.019630798
